姬芮(Za),,1997,日本,资生堂,http://hzp.rayli.com.cn/za/index.html,精华素/液(5);防晒(11);眼霜(7);面霜(18);腮红(4);粉膏(1);唇膏/唇彩/(10);面膜(8);粉饼(11);粉底液/霜(6);乳液/凝露/(25);爽肤/化妆水(23);其它护肤品(8);吸油面纸(2);去角质霜(3);散粉/蜜粉(3);护理唇膏(3);纤体产品(1);洁面乳/皂(13);隔离霜(5);睫毛膏/液(5);眼影(6);眼膜(1);彩妆套装(2);护手产品(1);卸妆油/液/(4);指甲油(2);眉笔/眉粉(2);眼线笔/液(2);唇部护理(1);面部/剃须护(3),补水(16);保湿(52);防晒(17);提亮肤色(10);淡化细纹(4);活肤滋润(30);面部彩妆(7);底妆(17);唇部彩妆(11);细致毛孔(6);抗皱紧肤(4);美白(34);抗敏(16);均匀肤色(12);控油平衡(11);淡斑(2);去角质(15);吸油(3);抗老化(1);去黑头(3);清洁(18);身体滋润(1);身体按摩(1);提拉紧致(3);深层补水(2);眼部彩妆(11);祛痘去印(8);修护肌肤(1);消炎镇定(1);调理油脂平衡(4);护理(4);去黑眼圈(1);指甲彩妆(5);除痘(1);卸妆(5);祛斑(2);眉部彩妆(2);造型(3);护唇(1);紧致(4);促进新陈代谢(2);防紫外线(6);唇部护理(1),菁采新生系列(0);真皙美白系列(15);清痘净颜系列(0);沁漾保湿系列(4);洁肤系列(5);卓能菁采新生(5);未归入系列者(0)
肌养晶(yuxia),,2001,中国,上海悠妮日用品有限公司,http://hzp.rayli.com.cn/yuxia/index.html,,,
伊汀美(Yitingmei),,2000,中国,唯美佳有限公司,http://hzp.rayli.com.cn/yitingmei/index.html,眼霜(1);面霜(1),去黑眼圈(1);除眼袋(1);淡斑(1);补水(1);美白(1);均匀肤色(1);活肤滋润(1);保湿(1),
易科美(YDUNVIE),,0,丹麦,,http://hzp.rayli.com.cn/ydunvie/index.html,护肤工具(2),祛斑(1);细致毛孔(2);淡斑(2);除痘(1);美白(2),
媛寇(YQK1981),,2014,,,http://hzp.rayli.com.cn/yqk1981/index.html,面霜(4);眼霜(5);隔离霜(4);精华素/液(5);洁面乳/皂(3);乳液/凝露/(2);其它护肤品(1);面膜(7);睫毛膏/液(1),保湿(7);底妆(3);去黑眼圈(4);抗皱紧肤(8);抗老化(7);活肤滋润(3);卸妆(1);清洁(3);紧致(1);美白(10);均匀肤色(4);修护肌肤(12);祛斑(2);祛痘去印(1);深层补水(1),强效保湿系列(4);深海鱼籽系列(5);蜗牛肌因修复(8);盈彩活性金系(5)
温雅(YoungRace),,1993,中国,温雅,http://hzp.rayli.com.cn/youngrace/index.html,护发产品(13);洗发产品(1);造型产品(4);染发产品(9),护理(16);补水(2);造型(4);染发(10);防晒(2),羞花闭月系列(0)
颜如玉(YOROYAL),,2013,中国广东,广州颜如玉医药科技有限公司,http://hzp.rayli.com.cn/yoroyal/index.html,美容食品(2),补水(2);活肤滋润(2),
雍卡(Yonka),,2008,法国,,http://hzp.rayli.com.cn/yonka/index.html,面部/剃须护(1),消炎镇定(1),
养生堂(YangShengTang),,1993,中国,,http://hzp.rayli.com.cn/yangshengtang/index.html,美容食品(3),保湿(1);美白(2),
圣罗兰(YSL (Yve Saint Laurent)),伊夫圣罗兰,1962,法国,法国伊夫·圣·罗兰,http://hzp.rayli.com.cn/yslyvesaintlaurent/index.html,精华素/液(15);面膜(5);遮瑕膏/笔/(5);男性香水(13);女性香水(38);洁面乳/皂(12);去角质霜(2);面霜(14);乳液/凝露/(9);爽肤/化妆水(8);卸妆油/液/(5);粉饼(8);眼影(27);沐浴露(2);身体乳/霜/(1);其它底妆(3);唇膏/唇彩/(35);其它彩妆(12);指甲油(7);腮红(7);粉底液/霜(13);丰胸产品(1);粉膏(2);隔离霜(2);其它护肤品(3);彩妆工具(5);眼线笔/液(5);散粉/蜜粉(3);眼霜(4);护手产品(1);防晒(1);护理唇膏(1);其它香水(2);睫毛膏/液(9);美甲工具(1);底妆工具(1);眉笔/眉粉(1);修容粉/膏/(2);护肤工具(1);妆前乳/液/(3),抗老化(18);去黑头(1);修护肌肤(7);补水(12);去黑眼圈(6);底妆(32);男士香水(14);女士香水(38);卸妆(10);清洁(12);去角质(6);防晒(8);抗皱紧肤(15);保湿(17);美白(21);活肤滋润(22);提亮肤色(11);眼部彩妆(44);淡化细纹(8);身体清洁(1);身体滋润(2);面部彩妆(25);瘦脸(1);唇部彩妆(37);指甲彩妆(8);丰胸(1);细致毛孔(3);祛斑(1);中性香水(1);均匀肤色(8);抗敏(1);护唇(1);紧致(3);提拉紧致(3);护理(1);舒缓压力(1),遮瑕系列(0);臻透亮白系列(3);缪斯之光系列(7)
